Key_ind,Destiny,Label_ind,SiteDate_Key,ID_SiteDate,site,lat,lon,Shell_length_cm,Shell_width_cm,Shell_height_cm,Boring_sponge,External_fauna,Other_external_parasites,Pea_crab,Internal_fauna,Other_internal_parasites,Ripe_Gonad,Sex,Month,Day,Year,Color
8102b940,SG,SG_1014,1A31631B,LakeFortuna_LA_2022-5-11,LKF,29.64379,-89.49761,9,7.2,5.1,TRUE,NA,"Barnacles, mussels, algae, bryozoan",FALSE,NA,,TRUE,1,5,10,2022,#FF4700
9b0b22ae,SG,SG_1015,1A31631B,LakeFortuna_LA_2022-5-11,LKF,29.64379,-89.49761,6.5,4.3,4.3,TRUE,NA,"Barnacles, mussels, algae, bryozoan",FALSE,NA,NA,TRUE,,5,10,2022,#FF4700
32ac523d,SG,SG_1016,1A31631B,LakeFortuna_LA_2022-5-11,LKF,29.64379,-89.49761,9.4,7.5,4,TRUE,NA,"Barnacles, mussels, algae, bryozoan",FALSE,NA,,TRUE,,5,10,2022,#FF4700
8d7c2653,SG,SG_1017,1A31631B,LakeFortuna_LA_2022-5-11,LKF,29.64379,-89.49761,7.2,5.4,2.2,TRUE,NA,"Barnacles, mussels, algae, bryozoan",FALSE,NA,,TRUE,,5,10,2022,#FF4700
d1b93996,SG,SG_1018,1A31631B,LakeFortuna_LA_2022-5-11,LKF,29.64379,-89.49761,7.1,4.9,2.5,TRUE,NA,"Barnacles, mussels, algae, bryozoan",FALSE,NA,,TRUE,,5,10,2022,#FF4700
e62ec0ac,SG,SG_1022,1A31631B,LakeFortuna_LA_2022-5-11,LKF,29.64379,-89.49761,7.9,6.9,3.2,TRUE,NA,"Barnacles, mussels, algae, bryozoan",FALSE,NA,,TRUE,,5,10,2022,#FF4700
d57a40a5,SG,SG_1023,1A31631B,LakeFortuna_LA_2022-5-11,LKF,29.64379,-89.49761,5.7,5.4,5.2,TRUE,NA,"Barnacles, mussels, algae, bryozoan",FALSE,NA,,TRUE,1,5,10,2022,#FF4700
23528c37,SG,SG_1024,1A31631B,LakeFortuna_LA_2022-5-11,LKF,29.64379,-89.49761,5.8,4.2,3.1,TRUE,NA,"Barnacles, mussels, algae, bryozoan",FALSE,NA,,TRUE,,5,10,2022,#FF4700
43336380,SG,SG_1025,1A31631B,LakeFortuna_LA_2022-5-11,LKF,29.64379,-89.49761,6.1,5.1,2.4,TRUE,NA,"Barnacles, mussels, algae, bryozoan",FALSE,NA,,TRUE,,5,10,2022,#FF4700
d9b276d4,SG,SG_1026,1A31631B,LakeFortuna_LA_2022-5-11,LKF,29.64379,-89.49761,5.1,4.2,2.5,TRUE,NA,"Barnacles, mussels, algae, bryozoan",FALSE,NA,,TRUE,,5,10,2022,#FF4700
8151ca73,SG,SG_1027,1A31631B,LakeFortuna_LA_2022-5-11,LKF,29.64379,-89.49761,5.1,4.3,2.5,TRUE,NA,"Barnacles, mussels, algae, bryozoan",FALSE,NA,,TRUE,,5,10,2022,#FF4700
4e0fd7b2,SG,SG_1028,1A31631B,LakeFortuna_LA_2022-5-11,LKF,29.64379,-89.49761,6.6,5,3,TRUE,NA,"Barnacles, mussels, algae, bryozoan",FALSE,NA,,TRUE,,5,10,2022,#FF4700
1709b6fc,SG,SG_1029,1A31631B,LakeFortuna_LA_2022-5-11,LKF,29.64379,-89.49761,6.1,4.6,2.6,TRUE,NA,"Barnacles, mussels, algae, bryozoan",FALSE,NA,,TRUE,,5,10,2022,#FF4700
ea0d7b30,SG,SG_1030,1A31631B,LakeFortuna_LA_2022-5-11,LKF,29.64379,-89.49761,5.5,5.1,4.1,TRUE,NA,"Barnacles, mussels, algae, bryozoan",FALSE,NA,,TRUE,,5,10,2022,#FF4700
1b3cca54,SG,SG_1031,1A31631B,LakeFortuna_LA_2022-5-11,LKF,29.64379,-89.49761,5.9,4.8,2.7,FALSE,NA,"Barnacles, mussels, algae, bryozoan",FALSE,NA,,TRUE,,5,10,2022,#FF4700
6655cc76,SG,SG_1032,1A31631B,LakeFortuna_LA_2022-5-11,LKF,29.64379,-89.49761,6.6,4.9,3.2,TRUE,NA,"Barnacles, mussels, algae, bryozoan",FALSE,NA,,TRUE,,5,10,2022,#FF4700
a3c23635,SG,SG_1033,1A31631B,LakeFortuna_LA_2022-5-11,LKF,29.64379,-89.49761,5.8,5.6,3.3,TRUE,NA,"Barnacles, mussels, algae, bryozoan",FALSE,NA,,TRUE,,5,10,2022,#FF4700
0e0ac7d6,SG,SG_1034,1A31631B,LakeFortuna_LA_2022-5-11,LKF,29.64379,-89.49761,6,4,2,TRUE,NA,"Barnacles, mussels, algae, bryozoan",FALSE,NA,,TRUE,,5,10,2022,#FF4700
f979a409,SG,SG_1035,1A31631B,LakeFortuna_LA_2022-5-11,LKF,29.64379,-89.49761,6.2,5.5,3.8,FALSE,NA,"Barnacles, mussels, algae, bryozoan",FALSE,NA,,TRUE,,5,10,2022,#FF4700
906d5a68,SG,SG_1036,1A31631B,LakeFortuna_LA_2022-5-11,LKF,29.64379,-89.49761,7,5.5,4.8,TRUE,NA,"Barnacles, mussels, algae, bryozoan",FALSE,NA,,TRUE,,5,10,2022,#FF4700
baf65a49,SG,SG_1037,1A31631B,LakeFortuna_LA_2022-5-11,LKF,29.64379,-89.49761,6.5,5.1,3.5,TRUE,NA,"Barnacles, mussels, algae, bryozoan",FALSE,NA,,TRUE,,5,10,2022,#FF4700
a10f506e,SG,SG_1038,1A31631B,LakeFortuna_LA_2022-5-11,LKF,29.64379,-89.49761,7.2,5.7,3.2,TRUE,NA,"Barnacles, mussels, algae, bryozoan",FALSE,NA,,TRUE,,5,10,2022,#FF4700
1b561850,SG,SG_1039,1A31631B,LakeFortuna_LA_2022-5-11,LKF,29.64379,-89.49761,5.5,5.2,3.6,TRUE,NA,,FALSE,NA,,TRUE,,5,10,2022,#FF4700
